주용도코드명,대지위치
편의시설,세종특별자치시  연동면 명학리 101-9번지
편의시설,세종특별자치시  연동면 명학리 102번지
편의시설,세종특별자치시  연동면 명학리 102번지
편의시설,세종특별자치시  연동면 명학리 102번지
주거지,세종특별자치시  연동면 응암리 18-1번지
창고시설,세종특별자치시  연동면 응암리 18-1번지
창고시설,세종특별자치시  연동면 응암리 18-1번지
편의시설,세종특별자치시  연동면 응암리 18-1번지
편의시설,세종특별자치시  연동면 응암리 29번지
주거지,세종특별자치시  연동면 응암리 29-1번지
창고시설,세종특별자치시  연동면 응암리 30번지
농축산업시설,세종특별자치시  연동면 응암리 30번지
편의시설,세종특별자치시  연동면 응암리 31번지
주거지,세종특별자치시  연동면 응암리 35-1번지
주거지,세종특별자치시  연동면 노송리 9번지
편의시설,세종특별자치시  연동면 노송리 14-13번지
주거지,세종특별자치시  연동면 노송리 21번지
주거지,세종특별자치시  연동면 노송리 21-1번지
주거지,세종특별자치시  연동면 노송리 21-2번지
주거지,세종특별자치시  연동면 노송리 22번지
주거지,세종특별자치시  연동면 노송리 22번지
주거지,세종특별자치시  연동면 노송리 22번지
주거지,세종특별자치시  연동면 노송리 23번지
주거지,세종특별자치시  연동면 노송리 23-3번지
님비시설,세종특별자치시  연동면 예양리 19번지
편의시설,세종특별자치시  연동면 예양리 19-5번지
주거지,세종특별자치시  연동면 예양리 20-4번지
생산시설,세종특별자치시  연동면 예양리 20-4번지
주거지,세종특별자치시  연동면 예양리 21번지
주거지,세종특별자치시  연동면 예양리 21번지
주거지,세종특별자치시  연동면 예양리 21번지
주거지,세종특별자치시  연동면 예양리 21번지
주거지,세종특별자치시  연동면 예양리 21-1번지
주거지,세종특별자치시  연동면 예양리 21-2번지
주거지,세종특별자치시  연동면 송용리 2-1번지
주거지,세종특별자치시  연동면 송용리 2-4번지
주거지,세종특별자치시  연동면 송용리 2-5번지
주거지,세종특별자치시  연동면 송용리 3번지
주거지,세종특별자치시  연동면 송용리 3-2번지
주거지,세종특별자치시  연동면 송용리 5-5번지
주거지,세종특별자치시  연동면 송용리 5-5번지
주거지,세종특별자치시  연동면 송용리 5-6번지
주거지,세종특별자치시  연동면 송용리 5-7번지
편의시설,세종특별자치시  연동면 송용리 7-1번지
편의시설,세종특별자치시  연동면 합강리 34번지
주거지,세종특별자치시  연동면 합강리 70번지
주거지,세종특별자치시  연동면 합강리 71번지
주거지,세종특별자치시  연동면 합강리 86-3번지
주거지,세종특별자치시  연동면 합강리 88번지
