index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,WGS84,GRS80
47067,지에스커넥트,신매태성맨션,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 고산로 50신매태성맨션,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('35.8348814836922', '128.705459966622')","(1108922.5967300069, 1760302.0683621413)"
47090,지에스커넥트,신서그린빌,1,AC완속,대구광역시 ,동구 ,"대구광역시 동구 반야월북로 251(신서동, 신서그린빌)(823-7 신서그린빌)",24시간 이용가능,거주자외 출입제한,,,"('35.8739742262703', '128.724934428052')","(1110673.3655568094, 1764672.4199109015)"
47095,지에스커넥트,신서신일해피트리,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 반야월로 370신서신일해피트리(신서동 신일해피트리),24시간 이용가능,거주자외 출입제한,,,"('35.8709432239326', '128.730082757896')","(1111136.2043076216, 1764333.5706798863)"
47103,지에스커넥트,신서퀸덤아파트,1,AC완속,대구광역시 ,동구 ,"대구광역시 동구 신서로 72(신서동, 신서동퀸덤)(833 신서동퀸덤)",24시간 이용가능,거주자외 출입제한,,,"('35.8745007015563', '128.726023022482')","(1110771.2310202485, 1764731.276924501)"
47106,지에스커넥트,신서화성파크드림,1,AC완속,대구광역시 ,동구 ,"대구광역시 동구 반야월북로 221(신서동, 신서화성파크드림)(828 신서화성파크드림)",09시~23시,거주자외 출입제한,,,"('35.8741164660319', '128.723356018616')","(1110531.465353488, 1764688.3215264294)"
47121,지에스커넥트,신성서화성파트드림,1,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 서재로27길 42지하2층 주차장(105동)(서재리 100),24시간 이용가능,거주자외 출입제한,,,"('35.8752903591747', '128.495543867715')","(1090050.9805093908, 1764819.5562614817)"
47149,지에스커넥트,신암동건영캐스빌107동지하1층,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 신암남로 50신암동건영캐스빌107동지하1층(194-1 신암건영캐스빌),24시간 이용가능,,7kW,,"('35.8773387809639', '128.618836064609')","(1101135.0423555064, 1765048.5584431803)"
47223,지에스커넥트,신천가람타운,1,AC완속,대구광역시 ,동구 ,"대구광역시 동구 신암로16길 33(신천동, 가람타운)(551-35 가람타운)",24시간 이용가능,거주자외 출입제한,,,"('35.8752946400383', '128.610927930934')","(1100424.0951508216, 1764820.0348382615)"
47231,지에스커넥트,신천두산위브,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 국채보상로 829지하2층 주차장(57)(신천동 850),09시~23시,거주자외 출입제한,,,"('35.8685524806051', '128.622236500421')","(1101440.7441094962, 1764066.298851026)"
47292,지에스커넥트,실리안아파트,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 파동로 209실리안아파트(24-9 실리안),24시간 이용가능,거주자외 출입제한,,,"('35.8212735476607', '128.610971805919')","(1100428.0395451922, 1758780.7766750238)"
47350,지에스커넥트,아름다운나날 2단지 2구역,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 동호로 88아름다운나날 2단지 2구역(영조 아름다운나날),24시간 이용가능,거주자외 출입제한,,,"('35.865165469987', '128.7265709949')","(1110820.4941554996, 1763687.6498710797)"
47436,지에스커넥트,아트정비공장,1,AC완속,대구광역시 ,서구 ,대구광역시 서구 북비산로 42출입구 우측 주차장 2대,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('35.8783088727368', '128.537526718182')","(1093825.2705518685, 1765157.009316732)"
47503,지에스커넥트,앞산태왕아너스101동,1,AC완속,대구광역시 ,남구 ,대구광역시 남구 효서길 53앞산태왕아너스101동(1642 앞산태왕아너스),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('35.8378256916156', '128.595745893516')","(1099059.2184925228, 1760631.2144595836)"
47765,지에스커넥트,에코플러스 동화아이워시2차,1,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 다사읍 서재로7길 23에코플러스 동화아이워시2차(아이위시 2차),09시~22시,거주자외 출입제한,,,"('35.8680950437825', '128.490638873117')","(1089610.017781426, 1764015.159954283)"
48007,지에스커넥트,영남네오빌아트,1,AC완속,대구광역시 ,북구 ,"대구광역시 북구 동천로 97(동천동, 영남네오빌 아트)(영남네오빌 아트)",24시간 이용가능,거주자외 출입제한,,,"('35.94171710605', '128.55875141186')","(1095733.3865828775, 1772245.6977123045)"
48253,지에스커넥트,오페라삼정그린코아더베스트,1,AC완속,대구광역시 ,북구 ,"대구광역시 북구 침산로 100(칠성동2가, 오페라삼정그린코아더베스트)(733 오페라삼정그린코아더베스트)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('35.88519604413', '128.591318021188')","(1098661.1494178618, 1765926.9568358832)"
48350,지에스커넥트,옥포대성베르힐,1,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 옥포면 돌미로 70지하1층 주차장(P14)(교항리 2964),09시~23시,거주자외 출입제한,,,"('35.7794433466636', '128.441484822032')","(1085191.0313740247, 1754104.3924753882)"
48363,지에스커넥트,옥포이진캐스빌,1,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 옥포읍 비슬로 2001옥포이진캐스빌(옥포 이진캐스빌),24시간 이용가능,거주자외 출입제한,,,"('35.7831565094984', '128.441240209371')","(1085169.040510601, 1754519.5034621258)"
48373,지에스커넥트,옥포제림뉴타운,1,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 옥포면 교항제림길 10옥포제림뉴타운(교항리 1519),24시간 이용가능,거주자외 출입제한,,,"('35.7890988731403', '128.443192061681')","(1085344.5135110316, 1755183.826720945)"
48377,지에스커넥트,옥포허브시티,1,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 옥포읍 비슬로 1941(대구옥포LH허브시티)(1099 대구옥포LH허브시티),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('35.7838607186674', '128.434002499307')","(1084518.364896131, 1754598.230136936)"
