index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,WGS84,GRS80
62802,에버온,장군면사무소,1,AC완속,세종특별자치시 ,장군면 ,세종특별자치시 장군면 장척로 400-1(167 장군면사무소),평일 09시~18시 이용가능,,,,"('36.496673603313', '127.205618753332')","(973731.4895158546, 1833208.8033145308)"
64098,에버온,종촌동주민센터,1,AC완속,세종특별자치시 ,도움3로 ,세종특별자치시 도움3로 125(677 종촌동주민센터),평일 09시~18시 이용가능,,,,"('36.504634502107', '127.246869363252')","(977452.0272763459, 1834094.9607748392)"
66062,에버온,한솔동주민센터,1,AC완속,세종특별자치시 ,노을3로 ,세종특별자치시 노을3로 85(964 한솔동주민센터),평일 09시~18시 이용가능,,,,"('36.4791740367484', '127.254667139178')","(978155.3361446699, 1831260.8610199916)"
66527,대영채비,(세종시)다정동 복합커뮤니티센터,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,다정중앙로 ,세종특별자치시 다정중앙로 40다정동 복합커뮤니티센터 지하 1층,24시간 이용가능,,,,"('36.4940425881262', '127.249381552572')","(977678.6104770475, 1832915.9351602811)"
66620,대영채비,4-1생활권 복합커뮤니티센터,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,반곡로 ,세종특별자치시 반곡로 39반곡동 복합커뮤니티센터(반곡동 복합커뮤니티센터),09:00~18:00,,50kW,,"('36.4987256612434', '127.310578435358')","(983198.1728222156, 1833437.2255682312)"
66749,대영채비,고려대학교 세종캠퍼스(기숙사),1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 세종로 2511고려대학교 세종캠퍼스(208 고려대학교세종캠퍼스),24시간 이용가능,,,,"('36.6116946201537', '127.291002698042')","(981432.5681435249, 1846012.2234814116)"
66865,대영채비,국민건강보험공단대전지역본부,1,AC완속,세종특별자치시 ,세종로 ,세종특별자치시 세종로 1234-5국민건강보험공단 대전충청지역본부(국민건강보험공단 세종),09:00~18:00,,,,"('36.5134584370333', '127.241982331961')","(977011.2487159767, 1835077.1860193184)"
66965,대영채비,농림수산식품교육문화정보원,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,국책연구원5로 ,세종특별자치시 국책연구원5로 19농림수산식품교육문화정보원(772-3 농림수산식품교육문화정보원),09:00~18:00(시설상황에 따라 이용제한가능),시설 상황에 따라 이용이 제한될 수 있음,50kW,,"('36.492984363748', '127.305638076108')","(982752.5844254461, 1832798.1402414301)"
67345,대영채비,메가타워2,1,AC완속,세종특별자치시 ,나성북1로 ,세종특별자치시 나성북1로 12,08:30~18:30,,,,"('36.4909977358843', '127.257621185677')","(978421.7720002146, 1832577.0012535057)"
67570,대영채비,서창점현대자동차,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 새내로 197-4현대블루핸즈 서창점(서창리 93-14),09:00~18:00,,,,"('36.6097766097075', '127.296316578307')","(981911.8457158803, 1845798.7225552187)"
67597,대영채비,세종 조치원중학교,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 조치원중고길 10-1세종 조치원중학교(30-11 조치원중학교),09:00~18:00,,,,"('36.6126087089134', '127.299953328852')","(982239.8570532737, 1846113.9741247436)"
67599,대영채비,세종 포스힐,1,AC완속,세종특별자치시 ,고운마을4길 ,세종특별자치시 고운마을4길 16세종 포스힐,09:00~18:00,거주자외 출입제한,,,"('36.5184866188162', '127.227976219918')","(975747.9881524435, 1835636.8917653651)"
67601,대영채비,세종남부경찰서,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 190세종남부경찰서(715 세종남부경찰서),24시간 이용가능,,7kW,,"('36.4808760644834', '127.292734749382')","(981588.7879527853, 1831450.3201016919)"
67606,대영채비,세종드림빌딩관리사무소,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 167,09:00~18:00,,,,"('36.4813104143387', '127.289895723001')","(981332.7261666913, 1831498.6692108342)"
