충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,GCS,POLYGON
종촌동주민센터,1,AC완속,세종특별자치시 ,도움3로 ,세종특별자치시 도움3로 125(677 종촌동주민센터),평일 09시~18시 이용가능,,,,"('36.50449039999974', '127.24655469999972')","(977423.6466896291, 1834078.9202295814)"
한솔동주민센터,1,AC완속,세종특별자치시 ,노을3로 ,세종특별자치시 노을3로 85(964 한솔동주민센터),평일 09시~18시 이용가능,,,,"('36.479332300000024', '127.25418679999987')","(978112.0126628226, 1831278.4778952654)"
(세종시)다정동 복합커뮤니티센터,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,다정중앙로 ,세종특별자치시 다정중앙로 40다정동 복합커뮤니티센터 지하 1층,24시간 이용가능,,,,"('36.494043599999685', '127.24909769999985')","(977653.0088140622, 1832916.0477957085)"
4-1생활권 복합커뮤니티센터,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,반곡로 ,세종특별자치시 반곡로 39반곡동 복합커뮤니티센터(반곡동 복합커뮤니티센터),09:00~18:00,,50kW,,"('36.498773199999704', '127.30648599999992')","(982829.0616669718, 1833442.51728524)"
고려대학교 세종캠퍼스(기숙사),1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 세종로 2511고려대학교 세종캠퍼스(208 고려대학교세종캠퍼스),24시간 이용가능,,,,"('36.61018220000009', '127.28152169999998')","(980577.4435455881, 1845843.8703297232)"
국민건강보험공단대전지역본부,1,AC완속,세종특별자치시 ,세종로 ,세종특별자치시 세종로 1234-5국민건강보험공단 대전충청지역본부(국민건강보험공단 세종),09:00~18:00,,,,"('36.513311599999916', '127.23780900000001')","(976634.841211263, 1835060.841039191)"
농림수산식품교육문화정보원,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,국책연구원5로 ,세종특별자치시 국책연구원5로 19농림수산식품교육문화정보원(772-3 농림수산식품교육문화정보원),09:00~18:00(시설상황에 따라 이용제한가능),시설 상황에 따라 이용이 제한될 수 있음,50kW,,"('36.492984199999604', '127.3014539000001')","(982375.1988489378, 1832798.1220139829)"
메가타워2,1,AC완속,세종특별자치시 ,나성북1로 ,세종특별자치시 나성북1로 12,08:30~18:30,,,,"('36.49099399999972', '127.25708819999998')","(978373.7001452537, 1832576.5853982016)"
서창점현대자동차,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 새내로 197-4현대블루핸즈 서창점(서창리 93-14),09:00~18:00,,,,"('36.60976409999969', '127.29214419999954')","(981535.524224536, 1845797.33005279)"
세종 조치원중학교,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 조치원중고길 10-1세종 조치원중학교(30-11 조치원중학교),09:00~18:00,,,,"('36.595695299999896', '127.28220889999935')","(980639.4245333018, 1844231.2792336547)"
세종 포스힐,1,AC완속,세종특별자치시 ,고운마을4길 ,세종특별자치시 고운마을4길 16세종 포스힐,09:00~18:00,거주자외 출입제한,,,"('36.51846670000024', '127.22772269999989')","(975725.1222983332, 1835634.67452736)"
세종남부경찰서,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 190세종남부경찰서(715 세종남부경찰서),24시간 이용가능,,7kW,,"('36.48094519999974', '127.28853179999992')","(981209.709148573, 1831458.0158349457)"
세종드림빌딩관리사무소,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 167,09:00~18:00,,,,"('36.481378999999585', '127.28944549999957')","(981292.1189688661, 1831506.3037376176)"
세종세무서,1,DC콤보,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 126세종세무서(세종 세무서),09:00~18:00,실외(부분개방)_일부 이용자 제한 가능,100kW,,"('36.47885049999969', '127.2817860999994')","(980601.2907125411, 1831224.846932767)"
세종아트센터,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,국립박물관로 ,세종특별자치시 국립박물관로 21세종예술의전당(예술의 전당),09:00~18:00,,50kW,,"('36.48663399999961', '127.26310279999976')","(978916.1780978659, 1832091.257468904)"
세종테크노파크,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,집현중앙7로 ,세종특별자치시 집현중앙7로 3세종산학연클러스터 지원센터(산학연클러스터 지원센터),24시간 이용가능(입주기관 및 관계자만 이용가능),입주기관 및 관계자만 이용가능,50kW,,"('36.49945840000017', '127.32469779999964')","(984471.6480364067, 1833518.7894635368)"
포르쉐 데스티네이션 홈플러스 세종점,1,AC완속,세종특별자치시 ,절재로 ,세종특별자치시 절재로 154홈플러스 세종점(홈플러스 세종점),10:00~24:00,,7kW,,"('36.50733989999981', '127.25465219999974')","(978153.988727579, 1834396.1087466765)"
한국농어촌공사 세종대전금산지사,1,AC완속,세종특별자치시 ,연서면 ,세종특별자치시 연서면 세종로 2119,09:00~18:00,,,,"('36.576614299999996', '127.2910448999998')","(981436.3744867003, 1842107.3016605705)"
해밀동 복합커뮤니티센터,1,AC완속,세종특별자치시 ,해밀1로 ,세종특별자치시 해밀1로 45해밀동 복합커뮤니티센터(해밀동 복합커뮤니티센터),09:00~18:00,,7kW,,"('36.52691879999968', '127.26367809999927')","(978968.0664305703, 1836575.509433516)"
행정안전부 정부청사관리본부 세종청사 10동,1,DC콤보,세종특별자치시 ,도움4로 ,세종특별자치시 도움4로 13정부세종청사 10동 옥외주차장(568 보건복지부 정부세종청사 10동 옥외주차장),09:00~18:00,,200kW,위탁운영,"('36.502580400000085', '127.2609444')","(978721.5044017214, 1833866.3109761942)"
행정안전부 정부청사관리본부 세종청사 11동,1,DC콤보,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 422정부세종청사 11동(581 고용노동부 정부세종청사 11동),09:00~18:00,,200kW,위탁운영,"('36.50127439999959', '127.25734439999961')","(978396.8077253524, 1833720.935224844)"
세종아름드리주차타워(우수건설),1,DC콤보,세종특별자치시 ,아름서1길 ,세종특별자치시 아름서1길 13-6아름드리주차타워3층(1331 아름드리타워),24시간 이용가능,,50kW,,"('36.51130089999977', '127.2429480000001')","(977098.3457167372, 1834837.0224916025)"
케이티온(세종),1,DC콤보,세종특별자치시 ,다정중앙로 ,세종특별자치시 다정중앙로 52(933 페스티발2),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.49518660000011', '127.24898879999937')","(977643.1867395595, 1833043.2794065755)"
현다이엔지세종사옥,1,DC콤보,세종특별자치시 ,집현중앙4로 ,세종특별자치시 집현중앙4로 16현다이엔지 세종사옥(집현동 산44),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.496597800000124', '127.33057370000009')","(985001.6161476887, 1833200.3653638724)"
세종 강남프라자1 충전소,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 127(보람동)(705 강남프라자),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.47968169999984', '127.28552819999943')","(980938.8038882415, 1831317.3709178346)"
