충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,GCS,POLYGON
LH 세종본부,11,DC콤보,세종특별자치시 ,가름로 ,세종특별자치시 가름로 238-1,24시간 이용가능,,급속(200kW동시),,"('36.49468870000027', '127.2645932999995')","(979050.6115411974, 1832987.8562928336)"
고복저수지 연기대첩비공원 주차장,1,DC콤보,세종특별자치시 ,연서면 ,세종특별자치시 연서면 용암리 208-5,24시간 이용가능,,급속(100kW멀티),,"('36.59959349999978', '127.22725089999949')","(975682.5689949933, 1844665.202475371)"
금암리마을회관주차장,21,DC콤보,세종특별자치시 ,장군면 ,세종특별자치시 장군면 정자말길 6,24시간 이용가능,,급속(200kW동시),,"('36.438385000000245', '127.22032839999963')","(975058.2043444724, 1826720.480574458)"
도담동 싱싱장터주차장,21,DC콤보,세종특별자치시 ,보듬6로 ,세종특별자치시 보듬6로 16,24시간 이용가능,,급속(200kW동시),"주간 유료, 야간 무료","('36.51548869999969', '127.25912020000005')","(978556.9733803463, 1835303.1821939477)"
명학일반산업단지 관리사무소,21,DC콤보,세종특별자치시 ,연동면 ,세종특별자치시 연동면 응암리 916,24시간 이용가능,,급속(200kW동시),,"('36.54077219999998', '127.33563749999936')","(985458.3381002956, 1838117.5832719812)"
명학일반산업단지 근린공원 주차장,1,DC콤보,세종특별자치시 ,연동면 ,세종특별자치시 연동면 내판리 713,24시간 이용가능,,급속(100kW단독),,"('36.543736699999826', '127.32968869999964')","(984921.7948813826, 1838447.5728697549)"
반곡동 수변공원,11,DC콤보,세종특별자치시 ,반곡동 ,세종특별자치시 반곡동 234-10 ,24시간 이용가능,,급속(200kW동시),,"('36.49216990000007', '127.29946630000012')","(982195.9302061949, 1832707.4792312786)"
보람동 수변공원,11,DC콤보,세종특별자치시 ,보람동 ,세종특별자치시 보람동 624-1,24시간 이용가능,,급속(200kW동시),,"('36.4821080999997', '127.29089679999969')","(981423.0168261994, 1831587.4625892914)"
산림자원연구소,21,DC콤보,세종특별자치시 ,금남면 ,세종특별자치시 금남면 산림박물관길 110,24시간 이용가능,,급속(200kW동시),,"('36.435701300000076', '127.22860249999991')","(975804.4745582902, 1826421.7478763144)"
새롬동 복합커뮤니티 센터,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,새롬동 ,세종특별자치시 새롬동 341-72,24시간 이용가능,,급속(100kW멀티),,"('36.48461169999969', '127.25199279999987')","(977914.1280773011, 1831866.1476818956)"
세종전통시장주차타워,1,DC콤보,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 조치원6길 38 ,24시간 이용가능,,급속(100kW단독),미정,"('36.599767099999795', '127.29931299999954')","(982182.1035393424, 1844684.526541548)"
세종정부청사 13-2동,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 402,24시간 이용가능,,급속(100kW멀티),,"('36.49963870000011', '127.25910079999935')","(978555.2236259709, 1833538.8593317985)"
세종정부청사 6동,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도움6로 ,세종특별자치시 도움6로 11,24시간 이용가능,,급속(100kW멀티),,"('36.50529750000008', '127.26095849999983')","(978722.7761303551, 1834168.76155341)"
세종중앙공원주차장,1,DC콤보,세종특별자치시 ,연기면 ,세종특별자치시 연기면 세종리 548-88,24시간 이용가능,,급속(100kW멀티),,"('36.4909963999996', '127.26840099999957')","(979394.0414118913, 1832576.852551177)"
세종중앙공원주차장2,1,DC콤보,세종특별자치시 ,연기면 ,세종특별자치시 연기면 수목원로 136,24시간 이용가능,,급속(100kW멀티),,"('36.49806300000027', '127.28160509999972')","(980584.9656852329, 1833363.4622634277)"
세종청사1동 국무조정실,1,DC콤보,세종특별자치시 ,다솜로 ,세종특별자치시 다솜로 261,24시간 이용가능,,급속(100kW멀티),,"('36.50282000000027', '127.26986009999942')","(979525.6427786662, 1833892.9817495765)"
세종청사4동 기획재정부,1,DC콤보,세종특별자치시 ,갈매로 ,세종특별자치시 갈매로 477,24시간 이용가능,,급속(100kW멀티),,"('36.506005099999676', '127.26428989999955')","(979023.2468268686, 1834247.527159503)"
세종청사7동 법제처,21,DC콤보,세종특별자치시 ,도움5로 ,세종특별자치시 도움5로 20,24시간 이용가능,,급속(200kW동시),,"('36.50595540000003', '127.25851609999992')","(978502.4874741752, 1834241.9948664038)"
세종호수공원제2주차장,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,어진동 ,"세종특별자치시 어진동 621, 입구 우측",24시간 이용가능,,급속(100kW동시),,"('36.50029780000004', '127.26821029999951')","(979376.8415073922, 1833612.2262212841)"
원수산 아래 BMX경기장,11,DC콤보,세종특별자치시 ,연기면 ,세종특별자치시 연기면 세종리 659-30,24시간 이용가능,,급속(200kW동시),,"('36.522604000000015', '127.26327879999994')","(978932.052157614, 1836095.2128855535)"
은하수공원,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,연기면 ,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",24시간 이용가능,,급속(50kW),,"('36.53482890000013', '127.23519810000009')","(976399.3549467588, 1837456.01228986)"
정부세종청사,1,DC차데모+AC3상,세종특별자치시 ,다솜2로 ,"세종특별자치시 다솜2로 11, 정부세종청사 종합안내실 정문 우측도보, 정부세종청사 종합안내실 정문 우측도보(어진동 43)",9:00~18:00,,급속(50kW),"주말, 공휴일: 이용불가/노후로 교체예정","('36.50479809999993', '127.2618747999997')","(978805.4204538226, 1834113.1714690158)"
정부세종청사 공정거래위원회,1,DC콤보,세종특별자치시 ,다솜3로 ,세종특별자치시 다솜3로 95(어진동)세종특별자치시 다솜2로 94(어진동),24시간 이용가능,,급속(100kW멀티),,"('36.504252199999875', '127.26643939999992')","(979217.1178007298, 1834052.4052954782)"
정부세종청사 교육부,1,DC콤보,세종특별자치시 ,갈매로 ,세종특별자치시 갈매로 408(어진동),24시간 이용가능,,급속(100kW멀티),,"('36.49905729999989', '127.26457770000002')","(979049.204522313, 1833474.1415202862)"
정부세종청사 국세청,1,DC콤보,세종특별자치시 ,국세청로 ,세종특별자치시 국세청로 8-14(나성동),24시간 이용가능,,급속(100kW멀티),,"('36.485273699999965', '127.2582090999997')","(978474.7980631457, 1831939.837381281)"
정부세종청사 농림축산식품부/해양수산부,1,DC콤보,세종특별자치시 ,다솜2로 ,세종특별자치시 다솜2로 94(어진동),24시간 이용가능,,급속(100kW멀티),,"('36.50464530000004', '127.26364119999936')","(978964.7382896459, 1834096.162728754)"
정부세종청사 문화체육관광부,1,DC콤보,세종특별자치시 ,갈매로 ,세종특별자치시 갈매로 388(어진동),24시간 이용가능,,급속(100kW멀티),,"('36.49784919999978', '127.26427089999979')","(979021.5331499868, 1833339.6633846383)"
정부세종청사 소방청,21,DC콤보,세종특별자치시 ,정부2청사로 ,세종특별자치시 정부2청사로 13(나성동)세종특별자치시 정부2청사로 13(나성동),24시간 이용가능,,급속(200kW동시),,"('36.484163500000186', '127.26039459999943')","(978671.9160037121, 1831816.2568613302)"
정부세종컨벤션센터,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,다솜 ,세종특별자치시 다솜 3로 66,24시간 이용가능,,급속(100kW멀티),,"('36.5010228999997', '127.26800949999998')","(979358.7306483766, 1833692.939817926)"
첫마을 BRT 환승주차장 A,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,나성남로 ,세종특별자치시 나성남로 7-7 BRT환승센터 B주차장 B1 (나성동 531),24시간 이용가능,,급속(50kW),"주차요금 : 15분당 300원, 2시간 초과시 15분당 400원/노후로 교체예정","('36.48143850000002', '127.26159809999973')","(978780.463906508, 1831512.9269055082)"
한솔동 복합커뮤니티센터 정음관,11,DC콤보,세종특별자치시 ,한솔동 ,세종특별자치시 한솔동 961,09:00 ~ 18:00,,급속(100kW동시),공휴일 휴관,"('36.477498399999575', '127.25535299999927')","(978217.1963471967, 1831074.3396178035)"
세종한신휴시티오피스텔,1,AC완속,세종특별자치시 ,보듬3로 ,세종특별자치시 보듬3로 8-20,입주민 전용 24시간,사업장 거주자외 출입제한,,,"('36.51430120000023', '127.2580630999993')","(978461.629809014, 1835170.9971215248)"
타이어프로 남세종점,1,AC완속,세종특별자치시 ,금남면 ,세종특별자치시 금남면 용포2길 3,09:00~18:00,,,,"('36.460234600000135', '127.2796058000001')","(980404.6417783238, 1829152.641382637)"
2생활권 환승주차장2(A),1,DC차데모+AC3상+DC콤보,세종특별자치시 ,나성동 ,세종특별자치시 나성동 719,24시간 이용가능,,,,"('36.48101849999971', '127.26074049999976')","(978703.1139427259, 1831466.1751324697)"
가락마을10단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,고운동 ,세종특별자치시 고운동 마음로 181주차장(마음로 181),24시간,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.5134107999997', '127.22823530000007')","(975771.3554973183, 1835071.8833626953)"
가락마을11단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,고운동 ,세종특별자치시 고운동 마음로 152주차장(마음로 152),24시간,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.51199240000015', '127.22567339999972')","(975540.288715315, 1834913.995946485)"
가락마을17단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,고운동 ,세종특별자치시 고운동 마음안1로 167 지하(마음안1로 167),,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.518056599999646', '127.23254189999959')","(976159.7829156918, 1835589.0247603673)"
가락마을20단지 호반베르디움아파트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,고운동 ,세종특별자치시 고운동 만남로 190지하,,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.5162945999997', '127.23624839999938')","(976494.0852020154, 1835392.889941245)"
가락마을21단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,고운동 ,세종특별자치시 고운동 마음안로 221 (마음안로 221),,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.5176504999998', '127.23681899999987')","(976545.5496252582, 1835543.8202484392)"
가락마을22,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,고운동 ,세종특별자치시 고운동 마음로 322주차장(마음로 322),24시간,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.519642299999695', '127.23539559999982')","(976417.1681671721, 1835765.534966214)"
가락마을3단지아파트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,고운동 ,세종특별자치시 고운동 1708,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.50625579999998', '127.23374299999969')","(976268.114354019, 1834275.4335154702)"
가락마을4단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,고운동 ,세종특별자치시 고운동 1703,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.50756949999994', '127.23582719999958')","(976456.0956909017, 1834421.6663825996)"
가락마을5단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,고운동 ,세종특별자치시 고운동 마음안로 34 B2층 주차장 96(마음안로 34),,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.50627390000004', '127.23460489999954')","(976345.8521499309, 1834277.4482942664)"
가락마을9단지 아파트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,고운동 ,세종특별자치시 고운동 마음로 151 b1층 주차장 52(마음로 151),,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.51092240000024', '127.2209318999997')","(975112.636134525, 1834794.8902390783)"
가온마을2단지,1,AC완속,세종특별자치시 ,다정동 ,세종특별자치시 다정동 산 29,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.49485099999989', '127.23847909999925')","(976695.2798897531, 1833005.9225136454)"
가재마을10단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도움1로 ,"세종특별자치시 도움1로 74지하1층 주차장(1006동, C45BL)",,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.50233139999974', '127.24834130000015')","(977584.7864346505, 1833838.593853589)"
가재마을11단지,2,AC완속,세종특별자치시 ,종촌동 ,세종특별자치시 종촌동 654지하,,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.50375930000005', '127.25003490000009')","(977737.5381821559, 1833997.5387504643)"
가재마을12단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,종촌동 ,세종특별자치시 종촌동 달빛로 80주차장,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.50564190000019', '127.24751209999985')","(977509.9979668416, 1834207.098007286)"
가재마을2단지아파트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,종촌동 ,세종특별자치시 종촌동 683,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.502724399999884', '127.2416774999997')","(976983.7548480114, 1833882.3401554879)"
가재마을3단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,종촌동 ,세종특별자치시 종촌동 도움3로 159 지하1층 주차장 A-26,,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.50436150000021', '127.23902059999959')","(976744.1196815155, 1834064.571887871)"
가재마을4단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,종촌동 ,세종특별자치시 종촌동 도움3로 160,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.50690820000006', '127.23947810000014')","(976785.3832175159, 1834348.0546028803)"
가재마을9단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,종촌동 ,"세종특별자치시 종촌동 도움1로 55 902동 지하주차장 D-10, 11",24시간,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.500301599999894', '127.24906589999989')","(977650.1406600917, 1833612.6492134999)"
고운동 복합커뮤니티센터(남측),1,DC콤보,세종특별자치시 ,마음로 ,세종특별자치시 마음로 64,09:00~18:00,,,,"('36.504922399999586', '127.23425429999931')","(976314.230301376, 1834127.0077675118)"
대평동 BRT전기버스 차고지,1,DC콤보,세종특별자치시 ,대평동 ,세종특별자치시 대평동 484-118,24시간 이용가능,전용충전소,,,"('36.467756100000145', '127.27245559999982')","(979759.7400629866, 1829989.887717528)"
도램15세종힐스테이트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도담동 ,세종특별자치시 도담동 859,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.51239900000024', '127.26282849999997')","(978891.4380150188, 1834959.2561153125)"
도램마을13단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도담동 ,세종특별자치시 도담동 632,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.51703119999978', '127.25867399999997')","(978516.7290311775, 1835474.8836460037)"
도램마을16단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도담동 ,세종특별자치시 도담동 보듬4로 55 지하(보듬4로 55),,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.51469170000016', '127.26174279999957')","(978793.5149090115, 1835214.4651390358)"
도램마을16단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도담동 ,세종특별자치시 도담동 639,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.51540429999973', '127.26400609999945')","(978997.6499055416, 1835293.787313853)"
도램마을18단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도담동 ,세종특별자치시 도담동 보듬4로 85 지하(보듬4로 85),,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.5147465999997', '127.26330659999952')","(978934.5595374661, 1835220.5762635989)"
도램마을18단지,1,AC완속,세종특별자치시 ,도담동 ,세종특별자치시 도담동 636,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.514382099999956', '127.26624729999976')","(979199.7916252918, 1835180.0024034847)"
도램마을19단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도담동 ,세종특별자치시 도담동 보듬4로 111 지하,,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.51533990000013', '127.25889149999955')","(978536.3461220014, 1835286.6187087032)"
도램마을19단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도담동 ,세종특별자치시 도담동 638,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.51541730000001', '127.26499539999998')","(979086.878356116, 1835295.2343925722)"
도램마을1단지아파트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도담동 ,세종특별자치시 도담동 845,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.51007020000028', '127.25514589999969')","(978198.5172689928, 1834700.0286653815)"
도램마을20단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도담동 ,세종특별자치시 도담동 보람로 96주차장(보람로 96),24시간,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.5171367999996', '127.25514749999981')","(978198.6615786374, 1835486.6383774818)"
도램마을5단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,다솜1로 ,"세종특별자치시 다솜1로 220지하2층 주차장(504동, B2-905BL)(다솜1로 220)",,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.51759979999976', '127.25592389999936')","(978268.6878284597, 1835538.17664155)"
도램마을9단지 ,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,도담동 ,세종특별자치시 도담동 보람로 15주차장(보람로 15),24시간,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.509874599999684', '127.25854010000015')","(978504.6521187042, 1834678.2556967447)"
범지기 3단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,아름동 ,세종특별자치시 아름동 달빛1로 201 (달빛1로 201),,입주자외 출입제한 (긴급상황 이용가능),,,"('36.51750449999976', '127.2404916')","(976876.7943512431, 1835527.568441628)"
범지기8단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,아름동 ,세종특별자치시 아름동 1279,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.51372890000026', '127.24725039999932')","(977486.3943222942, 1835107.2922651218)"
범지기마을 9단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,아름동 ,세종특별자치시 아름동 달빛1로 206 904동 지하주차장(달빛1로 206),24시간,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.51613240000004', '127.24148599999957')","(976966.4827886894, 1835374.834851803)"
범지기마을10단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,아름동 ,세종특별자치시 아름동 달빛로 211 주차장 2-2 지하1층(달빛로 211),,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.51665699999964', '127.24706169999943')","(977469.3748048537, 1835433.2300425163)"
범지기마을12단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,아름동 ,세종특별자치시 아름동 보듬3로 74주차장(보듬3로 74),24시간,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.51344099999958', '127.24648210000001')","(977417.0986400157, 1835075.245037789)"
범지기마을1단지아파트,1,AC완속,세종특별자치시 ,아름동 ,세종특별자치시 아름동 1339,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.50981410000009', '127.24118469999935')","(976939.3074807312, 1834671.5212152025)"
범지기마을5단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,달빛1로 ,"세종특별자치시 달빛1로 122지하1층 주차장(505동,39BL)(달빛1로 122)",,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.5102673000001', '127.2459141999993')","(977365.8777392606, 1834721.9686045505)"
범지기마을6단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,달빛로 ,"세종특별자치시 달빛로 135지하2층 주차장(601동, 84BL)(달빛로 135)",,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.51039460000001', '127.24668029999933')","(977434.9749958568, 1834736.1388443105)"
범지기마을7단지아파트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,아름동 ,세종특별자치시 아름동 1284,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.51378390000025', '127.24476939999984')","(977262.6241962346, 1835113.414521109)"
보건소신청사,1,DC콤보,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 대첩로 32(53-1 세종창조경제혁신센터),09:00~18:00,,100kW,,"('36.59603790000012', '127.29216759999967')","(981537.634752944, 1844269.415322802)"
보람동행정복지센터,1,DC콤보,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 2107(631-4 보람종합복지센터),24시간 이용가능,,100kW,,"('36.47921409999985', '127.29131139999983')","(981460.4110601032, 1831265.3206105577)"
새뜸마을3단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,새롬동 ,세종특별자치시 새롬동 329,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.48667800000025', '127.2436280999993')","(977159.6863304359, 1832096.1552737663)"
새뜸마을4단지,2,AC완속,세종특별자치시 ,새롬동 ,세종특별자치시 새롬동 새롬북로 13지하,,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.48942059999998', '127.24274109999963')","(977079.6846771582, 1832401.4443514557)"
새샘마을3단지아파트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,소담동 ,세종특별자치시 소담동 333-10,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.4839502000001', '127.2926292999997')","(981579.2771016866, 1831792.5136394592)"
새샘마을9단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,소담동 ,세종특별자치시 소담동 국책연구원1로 15 지하2층 주차장 A-36(국책연구원1로 15),,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.490234399999636', '127.29927540000004')","(982178.7122629901, 1832492.031477301)"
세종 새뜸마을 11단지(새롬동),2,AC완속,세종특별자치시 ,새롬동 ,세종특별자치시 새롬동 134-7지하,,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.48932500000004', '127.25260659999945')","(977969.4888605785, 1832390.8027574169)"
세종e편한세상,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 신안리 542,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.61530919999976', '127.28075539999998')","(980508.3282502887, 1846414.5759015777)"
세종고용복지센터,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,조치원읍 ,"세종특별자치시 조치원읍 터미널안길 60 (상리, 세종고용복지플러스센터)",24시간 이용가능,,,,"('36.60157469999998', '127.3020091000002')","(982425.2742919198, 1844885.7372674807)"
세종더샵레이크파크아파트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,어진동 ,세종특별자치시 어진동 613지하,,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.50441860000025', '127.27207250000004')","(979725.1869250332, 1834070.9279027293)"
세종시 청자장,1,DC콤보,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 문화로 8(상리 120-7),24시간 이용가능,,100kW,,"('36.60219389999966', '127.30106279999964')","(982339.9241627537, 1844954.6627385034)"
세종시청주차장,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,보람동 ,세종특별자치시 보람동 626-5,24시간 이용가능,,,,"('36.47993000000005', '127.28450369999959')","(980846.4006257823, 1831345.010120804)"
세종지사,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 침산리 행복8길 8,주중/주말 : 09시~18시,,,,"('36.602900999999854', '127.2872926999994')","(981097.9503564026, 1845033.3726877903)"
세종청정 아파트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,연동면 ,세종특별자치시 연동면 태산로 58 지상(태산로 58),,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.52918080000021', '127.34984539999988')","(986739.7986302542, 1836827.3011253288)"
아름공영주차장,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,아름동 ,세종특별자치시 아름동 1352,24시간 이용가능,,,,"('36.51139929999988', '127.24733439999996')","(977493.9705781331, 1834847.9757641475)"
욱일 아파트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 충현로 159 지하(충현로 159),,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.602512499999854', '127.29202979999997')","(981525.2060857486, 1844990.1272977612)"
조치원소방서,1,DC콤보,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 세종로 2439(40-2 조치원소방서),24시간 이용가능,,100kW,,"('36.60468770000002', '127.2883634999999')","(981194.5295789533, 1845232.2569564453)"
조치원자이 아파트,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 도원로 16 지하주차장 110동과 111동 사이(도원로 16),24시간,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.58991169999999', '127.28793269999932')","(981155.6742099657, 1843587.4850566431)"
조치원주차타워,1,DC콤보,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 새내로 99(원리 12-11),09:00~18:00,,,,"('36.60055989999957', '127.29731669999927')","(982002.0502129386, 1844772.7760787562)"
종촌공영주차장,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,종촌동 ,세종특별자치시 종촌동 664,24시간 이용가능,,,,"('36.50374580000006', '127.24914829999952')","(977657.5726062052, 1833996.0360149047)"
중흥S-클래스파크뷰가락마을15단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,고운동 ,세종특별자치시 고운동 마음안로 190 지하(마음안로 190),,입주자외 출입제한 (긴급상황 이용가능),,,"('36.516656100000226', '127.22842019999962')","(975788.0322793486, 1835433.1298602107)"
첫마을2단지아파트,1,AC완속,세종특별자치시 ,한솔동 ,세종특별자치시 한솔동 노을1로 16,,입주자외 출입제한 (긴급상황 이용가능),,,"('36.481797100000065', '127.25581450000018')","(978258.8206573144, 1831552.8440145596)"
첫마을3단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,한솔동 ,세종특별자치시 한솔동 나리1로 15주차장(나리1로 15),24시간,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.47891159999972', '127.25693559999992')","(978359.9366139122, 1831231.6482026053)"
