주용도코드명,대지위치
생산시설,대구광역시 중구 서성로1가 9-3번지
편의시설,대구광역시 중구 서성로1가 12번지
주거지,대구광역시 중구 서성로1가 13번지
편의시설,대구광역시 중구 시장북로 1-1번지
생산시설,대구광역시 중구 시장북로 1-2번지
편의시설,대구광역시 중구 시장북로 1-8번지
편의시설,대구광역시 중구 시장북로 1-9번지
편의시설,대구광역시 중구 시장북로 1-13번지
편의시설,대구광역시 중구 시장북로 1-14번지
편의시설,대구광역시 중구 시장북로 2-2번지
편의시설,대구광역시 중구 시장북로 2-3번지
주거지,대구광역시 중구 시장북로 2-6번지
편의시설,대구광역시 중구 하서동 1-1번지
편의시설,대구광역시 중구 하서동 1-2번지
편의시설,대구광역시 중구 하서동 2-1번지
편의시설,대구광역시 중구 하서동 2-3번지
편의시설,대구광역시 중구 하서동 2-4번지
편의시설,대구광역시 중구 하서동 8-2번지
생산시설,대구광역시 중구 하서동 13번지
주거지,대구광역시 중구 하서동 17-2번지
주거지,대구광역시 중구 하서동 20번지
주거지,대구광역시 중구 남성로 1번지
편의시설,대구광역시 중구 남성로 2-1번지
생산시설,대구광역시 중구 남성로 5번지
편의시설,대구광역시 중구 남성로 8-3번지
편의시설,대구광역시 중구 남성로 10-2번지
편의시설,대구광역시 중구 남성로 13-2번지
편의시설,대구광역시 중구 남성로 14-4번지
편의시설,대구광역시 중구 남성로 16-2번지
편의시설,대구광역시 중구 계산동1가 2-9번지
주거지,대구광역시 중구 계산동1가 7번지
주거지,대구광역시 중구 계산동1가 8번지
주거지,대구광역시 중구 계산동1가 8-1번지
주거지,대구광역시 중구 계산동1가 13번지
생산시설,대구광역시 중구 계산동1가 14번지
편의시설,대구광역시 중구 계산동1가 14-1번지
생산시설,대구광역시 중구 계산동1가 15번지
편의시설,대구광역시 중구 계산동1가 17번지
편의시설,대구광역시 중구 계산동1가 18번지
문화및집회시설,대구광역시 중구 계산동2가 1-1번지
생산시설,대구광역시 중구 계산동2가 2-2번지
편의시설,대구광역시 중구 계산동2가 6번지
편의시설,대구광역시 중구 계산동2가 7번지
편의시설,대구광역시 중구 계산동2가 8번지
주거지,대구광역시 중구 계산동2가 9번지
편의시설,대구광역시 중구 계산동2가 10번지
주거지,대구광역시 중구 계산동2가 13번지
편의시설,대구광역시 중구 계산동2가 14번지
주거지,대구광역시 중구 계산동2가 15번지
편의시설,대구광역시 중구 동산동 1-2번지
편의시설,대구광역시 중구 동산동 1-4번지
주거지,대구광역시 중구 동산동 1-9번지
주거지,대구광역시 중구 동산동 1-10번지
주거지,대구광역시 중구 동산동 5-2번지
편의시설,대구광역시 중구 동산동 6-2번지
생산시설,대구광역시 중구 동산동 7번지
생산시설,대구광역시 중구 동산동 9-1번지
주거지,대구광역시 중구 서문로2가 1-2번지
주거지,대구광역시 중구 서문로2가 2번지
주거지,대구광역시 중구 서문로2가 4번지
주거지,대구광역시 중구 서문로2가 5-2번지
주거지,대구광역시 중구 서문로2가 5-3번지
주거지,대구광역시 중구 서문로2가 5-4번지
주거지,대구광역시 중구 서문로2가 6-1번지
주거지,대구광역시 중구 서문로2가 6-2번지
주거지,대구광역시 중구 서문로2가 7-1번지
편의시설,대구광역시 중구 서성로2가 2-2번지
편의시설,대구광역시 중구 서성로2가 5-1번지
편의시설,대구광역시 중구 서성로2가 6번지
편의시설,대구광역시 중구 서성로2가 8-1번지
주거지,대구광역시 중구 서성로2가 8-2번지
주거지,대구광역시 중구 서성로2가 10-1번지
편의시설,대구광역시 중구 서성로2가 12-1번지
편의시설,대구광역시 중구 서성로2가 13-5번지
편의시설,대구광역시 중구 서성로2가 17-2번지
편의시설,대구광역시 중구 서성로2가 19-6번지
편의시설,대구광역시 중구 포정동 1번지
편의시설,대구광역시 중구 포정동 2-2번지
편의시설,대구광역시 중구 포정동 3-2번지
편의시설,대구광역시 중구 포정동 3-3번지
편의시설,대구광역시 중구 포정동 4-2번지
편의시설,대구광역시 중구 포정동 5번지
편의시설,대구광역시 중구 포정동 6-2번지
편의시설,대구광역시 중구 포정동 6-3번지
편의시설,대구광역시 중구 포정동 6-4번지
편의시설,대구광역시 중구 포정동 6-6번지
편의시설,대구광역시 중구 서문로1가 1-6번지
편의시설,대구광역시 중구 서문로1가 10-1번지
편의시설,대구광역시 중구 서문로1가 10-2번지
편의시설,대구광역시 중구 서문로1가 10-7번지
편의시설,대구광역시 중구 서문로1가 10-10번지
편의시설,대구광역시 중구 서문로1가 11-1번지
주거지,대구광역시 중구 서문로1가 11-6번지
편의시설,대구광역시 중구 서문로1가 11-7번지
편의시설,대구광역시 중구 서문로1가 11-9번지
주거지,대구광역시 중구 서문로1가 12번지
편의시설,대구광역시 중구 서내동 1-2번지
주거지,대구광역시 중구 서내동 1-7번지
창고시설,대구광역시 중구 서내동 1-11번지
창고시설,대구광역시 중구 서내동 1-13번지
주거지,대구광역시 중구 서내동 1-16번지
편의시설,대구광역시 중구 서내동 1-19번지
편의시설,대구광역시 중구 서내동 1-21번지
편의시설,대구광역시 중구 서내동 1-23번지
편의시설,대구광역시 중구 서내동 1-25번지
편의시설,대구광역시 중구 서내동 1-26번지
생산시설,대구광역시 중구 북성로2가 1-2번지
편의시설,대구광역시 중구 북성로2가 1-5번지
생산시설,대구광역시 중구 북성로2가 2-2번지
편의시설,대구광역시 중구 북성로2가 2-3번지
편의시설,대구광역시 중구 북성로2가 2-5번지
편의시설,대구광역시 중구 북성로2가 2-6번지
편의시설,대구광역시 중구 북성로2가 2-7번지
창고시설,대구광역시 중구 북성로2가 2-8번지
창고시설,대구광역시 중구 북성로2가 2-9번지
편의시설,대구광역시 중구 대안동 1-1번지
편의시설,대구광역시 중구 대안동 1-2번지
주거지,대구광역시 중구 대안동 2-2번지
편의시설,대구광역시 중구 대안동 2-3번지
문화및집회시설,대구광역시 중구 대안동 3-1번지
편의시설,대구광역시 중구 대안동 5번지
편의시설,대구광역시 중구 대안동 6-2번지
편의시설,대구광역시 중구 대안동 8-2번지
편의시설,대구광역시 중구 대안동 9-1번지
편의시설,대구광역시 중구 대안동 10-4번지
편의시설,대구광역시 중구 동성로1가 2-1번지
편의시설,대구광역시 중구 동성로1가 2-2번지
편의시설,대구광역시 중구 동성로1가 2-4번지
편의시설,대구광역시 중구 동성로1가 2-6번지
편의시설,대구광역시 중구 동성로1가 3-2번지
편의시설,대구광역시 중구 동성로1가 3-3번지
편의시설,대구광역시 중구 동성로1가 3-5번지
편의시설,대구광역시 중구 동성로1가 3-6번지
편의시설,대구광역시 중구 동성로1가 5-1번지
편의시설,대구광역시 중구 동성로1가 5-4번지
문화및집회시설,대구광역시 중구 태평로2가 1-1번지
생산시설,대구광역시 중구 태평로2가 1-3번지
편의시설,대구광역시 중구 태평로2가 1-8번지
편의시설,대구광역시 중구 태평로2가 1-9번지
편의시설,대구광역시 중구 태평로2가 1-11번지
생산시설,대구광역시 중구 태평로2가 1-41번지
편의시설,대구광역시 중구 태평로2가 1-50번지
편의시설,대구광역시 중구 태평로2가 1-51번지
편의시설,대구광역시 중구 태평로2가 1-56번지
편의시설,대구광역시 중구 태평로2가 2-1번지
편의시설,대구광역시 중구 북성로1가 1번지
편의시설,대구광역시 중구 북성로1가 1-1번지
편의시설,대구광역시 중구 북성로1가 1-4번지
편의시설,대구광역시 중구 북성로1가 1-5번지
주거지,대구광역시 중구 북성로1가 1-7번지
편의시설,대구광역시 중구 북성로1가 1-8번지
편의시설,대구광역시 중구 북성로1가 1-11번지
편의시설,대구광역시 중구 북성로1가 1-12번지
창고시설,대구광역시 중구 북성로1가 1-15번지
편의시설,대구광역시 중구 화전동 2번지
편의시설,대구광역시 중구 화전동 2-1번지
편의시설,대구광역시 중구 화전동 2-4번지
자동차관련시설,대구광역시 중구 화전동 2-5번지
편의시설,대구광역시 중구 화전동 2-7번지
편의시설,대구광역시 중구 화전동 2-8번지
편의시설,대구광역시 중구 화전동 2-12번지
편의시설,대구광역시 중구 화전동 2-13번지
편의시설,대구광역시 중구 화전동 2-14번지
편의시설,대구광역시 중구 화전동 2-15번지
편의시설,대구광역시 중구 향촌동 2-7번지
편의시설,대구광역시 중구 향촌동 5-5번지
주거지,대구광역시 중구 향촌동 5-8번지
편의시설,대구광역시 중구 향촌동 6번지
편의시설,대구광역시 중구 향촌동 7-3번지
편의시설,대구광역시 중구 향촌동 7-4번지
편의시설,대구광역시 중구 향촌동 7-5번지
편의시설,대구광역시 중구 향촌동 7-6번지
편의시설,대구광역시 중구 향촌동 7-9번지
편의시설,대구광역시 중구 향촌동 8-2번지
주거지,대구광역시 중구 북내동 2번지
주거지,대구광역시 중구 북내동 4-1번지
생산시설,대구광역시 중구 북내동 5번지
주거지,대구광역시 중구 북내동 5-1번지
편의시설,대구광역시 중구 북내동 11-1번지
편의시설,대구광역시 중구 북내동 11-2번지
주거지,대구광역시 중구 북내동 12번지
주거지,대구광역시 중구 북내동 13번지
주거지,대구광역시 중구 북내동 14번지
주거지,대구광역시 중구 북내동 15번지
주거지,대구광역시 중구 대신동
편의시설,대구광역시 중구 대신동 1-2번지
주거지,대구광역시 중구 대신동 1-20번지
주거지,대구광역시 중구 대신동 1-23번지
편의시설,대구광역시 중구 대신동 1-26번지
편의시설,대구광역시 중구 대신동 1-28번지
편의시설,대구광역시 중구 대신동 1-29번지
주거지,대구광역시 중구 대신동 1-30번지
편의시설,대구광역시 중구 달성동 10번지
편의시설,대구광역시 중구 달성동 13-14번지
편의시설,대구광역시 중구 달성동 18-5번지
주거지,대구광역시 중구 달성동 29번지
