주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,위도,경도
두산동 끝동공영주차장,공영,노외,대구광역시 수성구 들안로2안길 19-5,"대구광역시 수성구 두산동 157-19, 22",35.83225509,128.6186974
두산동 공영주차장,공영,노외,대구광역시 수성구 들안로20길 12,대구광역시 수성구 두산동 37-3,35.83785394,128.6183597
만촌동공영주차장4,공영,노외,대구광역시 수성구 달구벌대로530길 91,대구광역시 수성구 만촌동 863-53,,
수성유원지 동편주차장,공영,노외,,대구광역시 수성구 두산동 696-3,,
진밭골 공영주차장,공영,노외,,대구광역시 수성구 범물동 1221-26 일원,,
경상감영공원주차장,공영,노외,대구광역시 중구 경상감영길 99,대구광역시 중구 포정동 21,35.87267548,128.5916854
서문주차장,공영,노외,대구광역시 중구 큰장로26길 45,대구광역시 중구 대신동 115-378,35.86890863,128.580781
약령시서편주차장,공영,노외,대구광역시 중구 남성로 61,대구광역시 중구 동성로3가 35-13,35.86728621,128.5933752
국채보상운동기념공원주차장,공영,노외,대구광역시 중구 공평로10길 25,대구광역시 중구 동인동2가 42,35.86844014,128.601702
시청광장주차장,공영,부설,대구광역시 중구 국채보상로131길 17,대구광역시 중구 동인동2가 2-1,35.8706474,128.6018016
갓바위주차장,공영,노외,대구광역시 동구 갓바위로 227,대구광역시 동구 진인동 123-30,35.9708814,128.7261682
공항1공영주차장,공영,노외,대구광역시 동구 해동로 6,대구광역시 동구 지저동 669-60,35.8974446,128.637719
신천3동주차장,공영,노외,대구광역시 동구 송라로14길 46-2,대구광역시 동구 신천동 281-10,35.874552,128.621271
공항2공영주차장,공영,노외,대구광역시 동구 해동로 6,대구광역시 동구 지저동 669-60,35.8974446,128.637719
인동촌시장주차장,공영,노외,대구광역시 서구 북비산로 74길 8,대구광역시 서구 비산동 71-3,35.87859788,128.573928
달서교하부주차장,공영,노외,대구광역시 서구 가르뱅이로6길,대구광역시 서구 이현동 423-3,35.88088315,128.5338376
앞산공원주차장,공영,노외,대구광역시 남구 앞산순환로 574-45,대구광역시 남구 봉덕동 1566-1,35.83082613,128.5889722
신천둔치주차장,공영,노외,대구광역시 북구 칠성시장로 54,대구광역시 북구 칠성동2가 656-1,35.87892324,128.6029893
팔달신시장주차장,공영,노외,대구광역시 북구 노원로 32,대구광역시 북구 노원동3가 883-3,35.8915511,128.5664937
칠성공영주차장,공영,노외,대구광역시 북구 칠성남로 196,대구광역시 북구 칠성동1가 184-10,35.8761528,128.6016615
서변1주차장,공영,노외,대구광역시 북구 호국로 43길 20,대구광역시 북구 서변동 1778,35.9213327,128.5970475
서변2주차장,공영,노외,대구광역시 북구 호국로 43길 17,대구광역시 북구 서변동 1792,35.9209007,128.5971581
올브랜서편주차장,공영,노외,대구광역시 북구 유통단지로8길 33,대구광역시 북구 산격동 1640,35.9040048,128.6086279
COSTCO서편주차장,공영,노외,대구광역시 북구 유통단지로 24길 42,대구광역시 북구 산격동 1739,35.905999,128.6171313
한국패션센터주차장,공영,노외,대구광역시 북구 유통단지로14길 17,대구광역시 북구 산격동 1670,35.9061485,128.6117408
대현2동주차장,공영,노외,대구광역시 북구 대현남로10길 12,대구광역시 북구 대현동 393-1,35.8820402,128.6087412
우편집중국주차장,공영,노외,,대구광역시 북구 산격동 1576,35.90954306,128.612861
신기공원주차장,공영,노외,,대구광역시 북구 산격동 1616,35.9075162,128.6081124
어린이회관주차장,공영,노외,대구광역시 수성구 동대구로 194,대구광역시 수성구 황금동 635-6,35.8476818,128.6253323
지산근린공원주차장,공영,노외,대구광역시 수성구 용학로 267,대구광역시 수성구 지산동 1274,35.82093452,128.6376141
범물근린공원주차장,공영,노외,대구광역시 수성구 지범로 232,대구광역시 수성구 범물동 1328-2,35.818481,128.643325
시지근린공원주차장,공영,노외,대구광역시 수성구 달구벌대로637길 5,대구광역시 수성구 매호동 1330-2,35.84136103,128.7060404
신매1공영주차장,공영,노외,대구광역시 수성구 신매로19길 40,대구광역시 수성구 신매동 568-12,35.8394418,128.707541
신매2공영주차장,공영,노외,대구광역시 수성구 신매로19길 62,대구광역시 수성구 신매동 568,35.8396854,128.7062757
신매3공영주차장,공영,노외,대구광역시 수성구 고산로 75,대구광역시 수성구 신매동 566-4,35.8374745,128.7037829
