index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,WGS84,GRS80
57248,에버온,대전동구 위드힐아파트B1,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 대전로542번길 121지하주차장 1층 휀룸실 쪽 F18기둥 우측,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",외부인 사용불가,7kW,입주민만 사용가능 거주자외 출입제한,"('36.3148163911269', '127.442910279718')","(995012.8952124888, 1813040.288304195)"
57272,에버온,대전동구 한숲아파트P1주차장,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 계족로489번길 73P1주차장 휀룸실 좌측,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",외부인 사용불가,7kW,입주민만 사용가능 거주자외 출입제한,"('36.3553072924848', '127.429073784009')","(993755.943352528, 1817546.6923413698)"
57282,에버온,대전동구_큰솔5차아파트,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 동서대로1572번길 165지하주차장 2층 변전실 입구 우측,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",외부인 사용불가,7kW,입주민만 사용가능 거주자외 출입제한,"('36.3416324516395', '127.433935601225')","(994197.606496214, 1816024.7613414077)"
57285,에버온,대전동구_효동현대아파트,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 대전로 646(135-1 효동현대아파트),24시간 이용가능,외부인 사용불가,7kW,,"('36.3188802445439', '127.44176790469')","(994909.1181835048, 1813492.5717760543)"
57287,에버온,대전서구 가수원계룡아파트,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 가수원로 98(643 계룡아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3026922845494', '127.350946530604')","(986658.6118788397, 1811690.945093852)"
57294,에버온,대전서구 내동롯데아파트,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 신갈마로 46,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.3393946707503', '127.367783668294')","(988188.1517262796, 1815775.7092211733)"
57298,에버온,대전서구 내동코오롱아파트,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 동서대로 967(151 코오롱아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3356073268023', '127.369554778606')","(988349.0450946362, 1815354.199660134)"
57304,에버온,대전서구 둔산시티빌5차,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 문정로2번길 123(677 둔산시티빌5),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3430047138865', '127.3868163266')","(989917.1397418049, 1816177.4862233582)"
57305,에버온,대전서구 둔산청솔아파트1,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 둔산로 223(1811 청솔아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3519333476051', '127.398129737198')","(990944.8864193407, 1817171.191714878)"
57311,에버온,대전서구 아이누리아파트 102동,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 계룡로686번길 18(리베라 아이누리아파트1단지),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3354214141303', '127.395813596787')","(990734.4807603662, 1815333.5086508568)"
57316,에버온,대전서구 은아아파트3단지,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 가수원로 106(762 은아아파트3단지),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3037425730492', '127.350468700537')","(986615.2042556879, 1811807.8361527557)"
57321,에버온,대전서구 은아아파트5단지1,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 가수원로 6(808 은아아파트5단지),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.2985782153751', '127.355699478483')","(987090.3849811084, 1811233.0728975183)"
57325,에버온,대전서구 한라비발디아파트1,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 도안북로 136지하 1층  D08 기둥(966 한라비발디 지하 1층  D08 기둥),"24시간 이용가능,입주민만 사용가능 거주자외출입제한",외부인 사용불가,7kW,"입주민만 사용가능, 거주자외 출입제한","('36.3291661438879', '127.343830844451')","(986012.200017555, 1814637.3331119425)"
57330,에버온,대전서구_삼익목화2차아파트A주차장,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 복수북로 42A주차장 5번 기둥 우측,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",외부인 사용불가,7kW,입주민만 사용가능 거주자외 출입제한,"('36.3082850941676', '127.374851807281')","(988830.2442497791, 1812313.3925819884)"
57338,에버온,대전유성 다솔아파트,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 궁동로 5(395-3 다솔아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3618201150586', '127.346913690935')","(986292.2557270008, 1818271.5319709086)"
57342,에버온,대전유성 미성샤르망,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 계룡로 64102동 지하1층 기둥5~6번 사이,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.3542527076775', '127.33778221208')","(985462.7227605348, 1817429.3231281938)"
57344,에버온,대전유성 반석마을7단지아파트 702동,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 반석서로 109702동 지하1층 20기둥,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.3958923203054', '127.310922786887')","(983022.7260183068, 1822063.5721115426)"
57353,에버온,대전유성 봉산휴먼시아2단지아파트 206동,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 와룡로136번길 75(298 봉산휴먼시아2단지아파트),24시간 이용가능 (외부인 이용불가),외부인 사용불가,7kW,,"('36.4382719127091', '127.384957850912')","(989748.309821148, 1826780.1765806242)"
