 ID	   위도	     경도	        지오이드고	       정밀도
182	36.37510	127.42130	  25.459		-
183	36.38589	127.41360	  25.413		-
184	36.37600	127.41140	  25.413		-
185	36.46855	127.47194	  25.531		-
186	36.46316	127.46864	  25.520		-
187	36.36612	127.43011	  25.509		-
188	36.43890	127.42571	  25.376		-
189	36.44609	127.41029	  25.310		-
190	36.46855	127.47304	  25.536		-
191	36.37331	127.42681	  25.487		-
192	36.38858	127.42571	  25.465		-
193	36.36253	127.40369	  25.395		-
194	36.45148	127.43011	  25.374		-
195	36.40026	127.42020	  25.419		-
196	36.35264	127.40479	  25.413		-
197	36.37780	127.42901	  25.494		-
198	36.42093	127.41690	  25.371		-
199	36.34455	127.41250	  25.458		-
200	36.35803	127.42130	  25.478		-
201	36.35624	127.45102	  25.617		-
202	36.44699	127.45213	  25.470		-
203	36.36432	127.40259	  25.388		-
204	36.41554	127.46644	  25.593		-
205	36.35354	127.41690	  25.464		-
206	36.36342	127.41029	  25.422		-
207	36.36253	127.42791	  25.503		-
208	36.36342	127.42350	  25.481		-
209	36.35444	127.40919	  25.430		-
210	36.36073	127.42901	  25.510		-
211	36.34905	127.40809	  25.432		-
212	36.35084	127.41250	  25.449		-
213	36.36163	127.43231	  25.525		-
214	36.43710	127.42020	  25.358		-
215	36.44070	127.42240	  25.361		-
216	36.44159	127.39488	  25.266		-
217	36.44339	127.43892	  25.421		-
218	36.36522	127.41360	  25.434		-
219	36.37690	127.40919	  25.403		-
220	36.43351	127.41800	  25.355		-
221	36.36522	127.43671	  25.542		-
222	36.36342	127.42240	  25.476		-
223	36.45328	127.42461	  25.353		-
224	36.43441	127.43561	  25.422		-
225	36.35803	127.44222	  25.574		-
226	36.43531	127.43451	  25.416		-
227	36.44878	127.41140	  25.310		-
228	36.36522	127.43121	  25.516		-
229	36.36612	127.41029	  25.418		-
230	36.42812	127.46313	  25.554		-
231	36.43620	127.43341	  25.410		-
232	36.36971	127.42350	  25.474		-
233	36.37151	127.41910	  25.451		-
234	36.44609	127.43121	  25.386		-
235	36.44429	127.42020	  25.347		-
236	36.36163	127.44332	  25.576		-
237	36.35534	127.41470	  25.452		-
238	36.36432	127.44332	  25.574		-
239	36.36073	127.41029	  25.426		-
240	36.37960	127.42571	  25.477		-
241	36.44070	127.42681	  25.378		-
242	36.35803	127.42791	  25.508		-
243	36.43710	127.43451	  25.413		-
244	36.34635	127.41250	  25.455		-
245	36.35354	127.44112	  25.573		-
246	36.46496	127.46644	  25.508		-
247	36.40386	127.42791	  25.449		-
248	36.43081	127.43451	  25.425		-
249	36.43351	127.42240	  25.372		-
250	36.44070	127.39929	  25.279		-
251	36.36881	127.39819	  25.365		-
252	36.34905	127.41690	  25.470		-
253	36.41554	127.44662	  25.510		-
254	36.43980	127.43341	  25.404		-
255	36.36971	127.43671	  25.538		-
256	36.44609	127.41580	  25.329		-
257	36.35624	127.42350	  25.490		-
258	36.36612	127.43561	  25.536		-
259	36.44519	127.41029	  25.311		-
260	36.44429	127.42240	  25.356		-
261	36.36522	127.42681	  25.495		-
262	36.39847	127.41800	  25.412		-
263	36.45238	127.43341	  25.386		-
264	36.35713	127.43892	  25.560		-
265	36.36253	127.42571	  25.493		-
266	36.44878	127.42461	  25.357		-
267	36.35444	127.45213	  25.623		-
268	36.35624	127.45213	  25.622		-
269	36.44878	127.41250	  25.314		-
270	36.41194	127.42240	  25.410		-
271	36.35444	127.44882	  25.608		-
272	36.41105	127.42130	  25.406		-
273	36.39667	127.41470	  25.401		-
274	36.42632	127.42130	  25.380		-
275	36.44878	127.43121	  25.381		-
276	36.35174	127.44112	  25.575		-
277	36.34455	127.41470	  25.467		-
278	36.39487	127.42130	  25.433		-
279	36.34545	127.41580	  25.470		-
280	36.44699	127.43341	  25.392		-
281	36.35983	127.44332	  25.578		-
282	36.36612	127.43781	  25.546		-
283	36.39667	127.42020	  25.425		-
284	36.43620	127.41470	  25.339		-
285	36.37780	127.42571	  25.478		-
286	36.36792	127.42901	  25.502		-
287	36.35534	127.41140	  25.438		-
288	36.42812	127.42350	  25.386		-
289	36.43710	127.44882	  25.474		-
290	36.39577	127.42571	  25.453		-
291	36.44519	127.43451	  25.400		-
292	36.36253	127.41140	  25.428		-
293	36.35084	127.42350	  25.497		-
294	36.35803	127.44662	  25.595		-
295	36.34635	127.41360	  25.460		-
296	36.43800	127.42461	  25.374		-
297	36.35624	127.44552	  25.591		-
298	36.43710	127.43341	  25.409		-
299	36.35803	127.41029	  25.429		-
300	36.34995	127.41470	  25.460		-
301	36.45417	127.43451	  25.389		-
302	36.43531	127.42020	  25.361		-
303	36.36612	127.42901	  25.504		-
304	36.35534	127.42240	  25.486		-
305	36.35534	127.44002	  25.567		-
306	36.43171	127.43231	  25.414		-
307	36.36792	127.44552	  25.580		-
308	36.42542	127.42350	  25.391		-
309	36.44699	127.41470	  25.324		-
310	36.36253	127.41580	  25.447		-
311	36.36342	127.43011	  25.512		-
312	36.35624	127.41360	  25.446		-
313	36.35713	127.40809	  25.421		-
314	36.39847	127.42461	  25.443		-
315	36.43620	127.42020	  25.360		-
316	36.35444	127.41470	  25.453		-
317	36.35893	127.44112	  25.568		-
318	36.37870	127.42350	  25.467		-
319	36.41733	127.44112	  25.482		-
320	36.36522	127.40919	  25.415		-
