,주용도코드명,대지위치
223,주거지,대전광역시 동구 주산동 44-4번지
224,주거지,대전광역시 동구 주산동 44-5번지
225,주거지,대전광역시 동구 주산동 44-8번지
226,주거지,대전광역시 동구 주산동 44-12번지
227,주거지,대전광역시 동구 주산동 44-17번지
228,주거지,대전광역시 동구 주산동 44-18번지
229,편의시설,대전광역시 동구 주산동 44-32번지
230,님비시설,대전광역시 동구 마산동 94-1번지
232,편의시설,대전광역시 동구 마산동 96번지
233,주거지,대전광역시 동구 마산동 133-4번지
234,주거지,대전광역시 동구 마산동 135-2번지
235,주거지,대전광역시 동구 마산동 150번지
237,창고시설,대전광역시 동구 마산동 195-2번지
238,편의시설,대전광역시 동구 마산동 269-2번지
240,주거지,대전광역시 동구 효평동 76번지
243,주거지,대전광역시 동구 효평동 77-2번지
244,주거지,대전광역시 동구 효평동 79번지
245,주거지,대전광역시 동구 효평동 80번지
246,주거지,대전광역시 동구 효평동 81-2번지
247,주거지,대전광역시 동구 효평동 137-2번지
248,주거지,대전광역시 동구 효평동 137-9번지
249,주거지,대전광역시 동구 효평동 148-4번지
250,주거지,대전광역시 동구 직동 114-1번지
251,주거지,대전광역시 동구 직동 114-2번지
252,주거지,대전광역시 동구 직동 114-3번지
253,주거지,대전광역시 동구 직동 114-5번지
254,주거지,대전광역시 동구 직동 114-6번지
255,주거지,대전광역시 동구 직동 114-7번지
257,창고시설,대전광역시 동구 직동 162-17번지
258,주거지,대전광역시 동구 직동 487번지
259,주거지,대전광역시 동구 직동 492-3번지
260,주거지,대전광역시 동구 세천동 4-2번지
261,주거지,대전광역시 동구 세천동 4-5번지
262,주거지,대전광역시 동구 세천동 4-6번지
263,주거지,대전광역시 동구 세천동 4-7번지
264,주거지,대전광역시 동구 세천동 5번지
265,주거지,대전광역시 동구 세천동 5-1번지
266,주거지,대전광역시 동구 세천동 5-3번지
268,주거지,대전광역시 동구 세천동 5-4번지
269,농축산업시설,대전광역시 동구 세천동 5-5번지
270,주거지,대전광역시 동구 신상동 39-1번지
272,주거지,대전광역시 동구 신상동 70번지
273,주거지,대전광역시 동구 신상동 70-1번지
274,편의시설,대전광역시 동구 신상동 75-1번지
275,주거지,대전광역시 동구 신상동 76-2번지
276,주거지,대전광역시 동구 신상동 77-1번지
277,주거지,대전광역시 동구 신상동 77-2번지
278,주거지,대전광역시 동구 신상동 78번지
280,주거지,대전광역시 동구 신하동 5-2번지
281,주거지,대전광역시 동구 신하동 8-1번지
282,주거지,대전광역시 동구 신하동 8-2번지
283,주거지,대전광역시 동구 신하동 8-3번지
285,주거지,대전광역시 동구 신하동 8-4번지
287,주거지,대전광역시 동구 신하동 9-2번지
288,주거지,대전광역시 동구 신하동 10번지
289,주거지,대전광역시 동구 신하동 10-2번지
290,편의시설,대전광역시 동구 신촌동 9번지
291,편의시설,대전광역시 동구 신촌동 9-1번지
292,창고시설,대전광역시 동구 신촌동 39-2번지
293,주거지,대전광역시 동구 신촌동 49번지
295,주거지,대전광역시 동구 신촌동 52-1번지
299,주거지,대전광역시 동구 신촌동 55-1번지
300,주거지,대전광역시 동구 사성동 29-2번지
301,주거지,대전광역시 동구 사성동 30번지
302,주거지,대전광역시 동구 사성동 30-1번지
308,주거지,대전광역시 동구 사성동 31-1번지
310,주거지,대전광역시 동구 오동 4-7번지
311,주거지,대전광역시 동구 오동 11번지
312,주거지,대전광역시 동구 오동 20번지
314,편의시설,대전광역시 동구 오동 39-1번지
315,주거지,대전광역시 동구 오동 86-1번지
316,주거지,대전광역시 동구 오동 87번지
317,주거지,대전광역시 동구 오동 90번지
318,주거지,대전광역시 동구 오동 90-1번지
320,편의시설,대전광역시 동구 주촌동 139-1번지
321,주거지,대전광역시 동구 주촌동 141-6번지
322,주거지,대전광역시 동구 주촌동 152-1번지
324,주거지,대전광역시 동구 주촌동 160-7번지
327,주거지,대전광역시 동구 주촌동 160-9번지
330,방송통신시설,대전광역시 동구 낭월동
331,주거지,대전광역시 동구 낭월동 2-2번지
332,농축산업시설,대전광역시 동구 낭월동 7-1번지
333,농축산업시설,대전광역시 동구 낭월동 9-3번지
334,창고시설,대전광역시 동구 낭월동 10번지
335,주거지,대전광역시 동구 낭월동 10-1번지
336,주거지,대전광역시 동구 낭월동 10-11번지
337,주거지,대전광역시 동구 낭월동 10-32번지
338,편의시설,대전광역시 동구 낭월동 11-1번지
339,농축산업시설,대전광역시 동구 낭월동 11-2번지
340,주거지,대전광역시 동구 대별동 1-3번지
341,님비시설,대전광역시 동구 대별동 2-5번지
343,주거지,대전광역시 동구 대별동 3-2번지
344,자원순환관련시설,대전광역시 동구 대별동 7-1번지
345,자동차관련시설,대전광역시 동구 대별동 7-4번지
347,편의시설,대전광역시 동구 대별동 9-2번지
348,편의시설,대전광역시 동구 대별동 20번지
350,편의시설,대전광역시 동구 이사동 1-2번지
351,주거지,대전광역시 동구 이사동 1-3번지
352,주거지,대전광역시 동구 이사동 1-8번지
353,편의시설,대전광역시 동구 이사동 1-9번지
354,주거지,대전광역시 동구 이사동 1-12번지
356,주거지,대전광역시 동구 이사동 1-14번지
357,편의시설,대전광역시 동구 이사동 1-16번지
358,주거지,대전광역시 동구 이사동 1-18번지
359,주거지,대전광역시 동구 이사동 1-20번지
360,주거지,대전광역시 동구 대성동
370,주거지,대전광역시 동구 장척동 35번지
371,창고시설,대전광역시 동구 장척동 141-2번지
372,편의시설,대전광역시 동구 장척동 206-3번지
373,주거지,대전광역시 동구 장척동 207-2번지
374,편의시설,대전광역시 동구 장척동 231-1번지
375,주거지,대전광역시 동구 장척동 233번지
376,주거지,대전광역시 동구 장척동 234번지
378,주거지,대전광역시 동구 장척동 234-1번지
379,주거지,대전광역시 동구 장척동 234-3번지
380,농축산업시설,대전광역시 동구 소호동 11-2번지
381,농축산업시설,대전광역시 동구 소호동 11-6번지
384,창고시설,대전광역시 동구 소호동 11-8번지
385,주거지,대전광역시 동구 소호동 20번지
386,주거지,대전광역시 동구 소호동 25번지
387,주거지,대전광역시 동구 소호동 26-1번지
388,주거지,대전광역시 동구 소호동 26-9번지
389,주거지,대전광역시 동구 소호동 32번지
390,창고시설,대전광역시 동구 구도동 2-1번지
391,창고시설,대전광역시 동구 구도동 13번지
392,농축산업시설,대전광역시 동구 구도동 13-1번지
393,주거지,대전광역시 동구 구도동 66번지
394,농축산업시설,대전광역시 동구 구도동 73번지
395,자동차관련시설,대전광역시 동구 구도동 77-1번지
400,농축산업시설,대전광역시 동구 삼괴동 35번지
401,주거지,대전광역시 동구 삼괴동 43-1번지
402,주거지,대전광역시 동구 삼괴동 43-3번지
403,주거지,대전광역시 동구 삼괴동 43-13번지
404,주거지,대전광역시 동구 삼괴동 43-14번지
405,주거지,대전광역시 동구 삼괴동 43-15번지
406,주거지,대전광역시 동구 삼괴동 43-16번지
407,주거지,대전광역시 동구 삼괴동 43-17번지
408,주거지,대전광역시 동구 삼괴동 43-19번지
409,주거지,대전광역시 동구 삼괴동 43-20번지
410,주거지,대전광역시 동구 상소동
411,편의시설,대전광역시 동구 상소동 1번지
412,농축산업시설,대전광역시 동구 상소동 11-1번지
413,편의시설,대전광역시 동구 상소동 18-2번지
415,편의시설,대전광역시 동구 상소동 27번지
416,편의시설,대전광역시 동구 상소동 50번지
418,주거지,대전광역시 동구 상소동 112번지
419,주거지,대전광역시 동구 상소동 133번지
420,편의시설,대전광역시 동구 하소동 7번지
421,편의시설,대전광역시 동구 하소동 36-1번지
422,농축산업시설,대전광역시 동구 하소동 37-3번지
424,농축산업시설,대전광역시 동구 하소동 39번지
425,주거지,대전광역시 동구 하소동 39-1번지
426,농축산업시설,대전광역시 동구 하소동 40번지
427,편의시설,대전광역시 동구 하소동 48번지
428,편의시설,대전광역시 동구 하소동 49-2번지
429,농축산업시설,대전광역시 동구 하소동 51-1번지
430,주거지,대전광역시 중구 은행동 1번지
433,편의시설,대전광역시 중구 은행동 1-1번지
435,편의시설,대전광역시 중구 은행동 1-2번지
436,주거지,대전광역시 중구 은행동 1-3번지
437,주거지,대전광역시 중구 은행동 1-5번지
438,주거지,대전광역시 중구 은행동 1-6번지
439,편의시설,대전광역시 중구 은행동 1-7번지
440,편의시설,대전광역시 중구 선화동 1-19번지
441,판매시설,대전광역시 중구 선화동 3-1번지
442,편의시설,대전광역시 중구 선화동 3-3번지
443,교육연구시설,대전광역시 중구 선화동 4번지
444,교육연구시설,대전광역시 중구 선화동 5-2번지
445,편의시설,대전광역시 중구 선화동 6-1번지
446,편의시설,대전광역시 중구 선화동 6-2번지
447,편의시설,대전광역시 중구 선화동 6-3번지
448,자동차관련시설,대전광역시 중구 선화동 6-4번지
450,편의시설,대전광역시 중구 목동 1-1번지
451,교육연구시설,대전광역시 중구 목동 1-2번지
452,주거지,대전광역시 중구 목동 1-4번지
453,주거지,대전광역시 중구 목동 1-72번지
455,편의시설,대전광역시 중구 목동 1-73번지
456,편의시설,대전광역시 중구 목동 1-74번지
458,편의시설,대전광역시 중구 목동 1-111번지
459,주거지,대전광역시 중구 목동 1-112번지
460,주거지,대전광역시 중구 중촌동 7번지
462,주거지,대전광역시 중구 중촌동 7-1번지
463,주거지,대전광역시 중구 중촌동 7-4번지
464,주거지,대전광역시 중구 중촌동 9-2번지
465,주거지,대전광역시 중구 중촌동 9-8번지
466,편의시설,대전광역시 중구 중촌동 10-2번지
470,주거지,대전광역시 중구 대흥동 1-1번지
471,편의시설,대전광역시 중구 대흥동 1-2번지
472,편의시설,대전광역시 중구 대흥동 1-7번지
473,주거지,대전광역시 중구 대흥동 1-9번지
475,편의시설,대전광역시 중구 대흥동 1-11번지
477,편의시설,대전광역시 중구 대흥동 1-12번지
478,편의시설,대전광역시 중구 대흥동 1-13번지
479,편의시설,대전광역시 중구 대흥동 1-14번지
480,주거지,대전광역시 중구 문창동 1번지
486,편의시설,대전광역시 중구 문창동 2-1번지
487,주거지,대전광역시 중구 문창동 2-2번지
490,주거지,대전광역시 중구 석교동 4-1번지
491,주거지,대전광역시 중구 석교동 4-2번지
493,주거지,대전광역시 중구 석교동 4-3번지
494,주거지,대전광역시 중구 석교동 4-4번지
496,주거지,대전광역시 중구 석교동 4-6번지
498,주거지,대전광역시 중구 석교동 4-7번지
