주차장명,주차장구분,소재지지번주소,주차구획수,위도,경도
"장명교~경원장, 파라곤모텔앞",공영,대전광역시 유성구 봉명동 535-2,25,36.35713713,127.3419591
상수도사업본부 유성사업소 주변,공영,대전광역시 유성구 봉명동 665-6,12,36.3587336,127.3521076
농촌공사 주변,공영,대전광역시 유성구 장대동 24-2,70,36.36615237,127.3359327
장대동공영주차장주변,공영,대전광역시 유성구 장대동 263-4,44,36.36000119,127.331851
학사마을 주변,공영,대전광역시 유성구 장대동 317-3,55,36.3646569,127.3393001
월드컵패밀리타운 주변,공영,대전광역시 유성구 장대동 323-2,61,36.364521,127.3359131
장대동 364일원,공영,대전광역시 유성구 장대동 364,33,36.35935053,127.3394779
궁동 457-1일원,공영,대전광역시 유성구 궁동 457-3,122,36.36189089,127.3410834
유림공원주차장,공영,대전광역시 유성구 봉명동 496-1,50,36.36038048,127.3551748
유성구청 뒤,공영,대전광역시 유성구 어은동 109,27,36.36258889,127.3567446
유성구청~어은공원,공영,대전광역시 유성구 어은동 109,23,36.36259133,127.3567411
도룡동 우성(아)앞,공영,대전광역시 유성구 도룡동 401-3,27,36.38834118,127.3817089
대동복지센터주차장,공영,대전광역시 동구 대동 1-8,19,36.330415099999826,127.45027679999939
대동이스트시티옆 공영주차장,공영,대전광역시 동구 대동 대동 107-37,15,36.332009199999895,127.4400949999999
대성동 노외공영주차장,공영,대전광역시 동구 대성동 429,15,36.29918850000005,127.45859449999966
대전천변 노외공영주차장,공영,대전광역시 동구 중동 51-16,57,36.331979499999946,127.4274560999998
대전천주변노외공영주차장,공영,대전광역시 동구 중동 51-16,57,36.331979499999946,127.4274560999998
세천4 공한지 주차장,공영,대전광역시 동구 세천동 321-4,5,36.33300609999981,127.48460679999998
진잠우체국옆,공영,대전광역시 유성구 원내동 92-14,21,36.30105629,127.3200719
진잠우체국 앞,공영,대전광역시 유성구 원내동 93-12,8,36.30059598,127.3199535
카운티스 앞,공영,대전광역시 유성구 노은동 572,53,36.3704034,127.317291
동원수산 앞,공영,대전광역시 유성구 노은동 594,92,36.36762703,127.3182829
반석동공영주변,공영,대전광역시 유성구 반석동 641,46,36.39130229,127.3144842
송강청솔@~송강@,공영,대전광역시 유성구 봉산동 295,26,36.43825732,127.3824562
